Importance
0.0404931898
0.0268835627
0.0306535913
0.0417609356
0.0271125847
0.0562266651
0.0269184402
0.0287784935
0.0037377793
0.0342933152
0.0308470101
0.0289854235
0.0041331147
0.0289590649
0.0266921916
0.0313578163
0.0042793240
0.0314203004
0.0308246471
0.0259822250
0.0031433731
0.0397087563
0.0527959166
0.0331731434
0.0504549591
0.1324320472
0.0636416477
0.0643104815
