Importance
0.0057139197
0.0005252706
0.0022676318
0.0039843700
0.0006149510
0.0109538146
-0.0008711806
0.0006021395
0.0002177951
0.0047914932
0.0018448530
0.0015758119
0.0003715329
-0.0011274102
-0.0006277625
-0.0002049837
-0.0000896804
0.0028441484
-0.0014605086
-0.0007815002
0.0004740247
0.0079431170
0.0217795144
0.0009608609
0.0120684133
0.0560117866
0.0437896355
0.0524630069
