Importance
0.0132067590
0.0306585558
0.0384428105
0.0176010963
0.0337973682
0.0205668622
0.0354923268
0.0383800342
0.0072582977
0.0095182426
0.0345506831
0.0386939155
0.0127045490
0.0133950877
0.0310979895
0.0367478518
0.0160944664
0.0145250602
0.0329812769
0.0359945368
0.0147133889
0.0116526350
0.0174908261
0.0117001290
0.0192485610
0.0500089223
0.0294183131
0.0306110618
